['apVisit-dr17-6561-56607-094.fits', 73732]
['apVisit-dr17-6561-56616-105.fits', 73730]
['apVisit-dr17-9084-57556-148.fits', 73745]
['apVisit-dr17-9082-57789-106.fits', 73746]
['apVisit-dr17-9135-58295-148.fits', 73747]
['apVisit-dr17-7950-58384-099.fits', 73743]
['apVisit-dr17-7951-58504-094.fits', 73742]
['apVisit-dr17-7951-59155-106.fits', 73741]
['apVisit-dr17-8684-57676-161.fits', 73749]
['apVisit-dr17-8684-57711-206.fits', 73751]
['apVisit-dr17-8684-57708-206.fits', 73750]
['apVisit-dr17-10347-58119-152.fits', 75520]
['apVisit-dr17-11207-58417-180.fits', 75521]
['apVisit-dr17-8569-58844-209.fits', 76257]
['apVisit-dr17-8569-58848-209.fits', 76259]
['apVisit-dr17-8569-58849-209.fits', 76258]
['asVisit-dr17-10036-58032-160.fits', 76613]
['asVisit-dr17-10036-58057-159.fits', 76614]
['apVisit-dr17-11207-58386-089.fits', 78424]
['apVisit-dr17-11207-58389-125.fits', 78428]
['apVisit-dr17-8657-57665-266.fits', 78953]
['apVisit-dr17-8657-57667-266.fits', 78954]
['apVisit-dr17-8657-58014-257.fits', 78952]
['apVisit-dr17-8657-58013-257.fits', 78956]
['apVisit-dr17-8684-57708-123.fits', 79120]
['apVisit-dr17-10347-58116-081.fits', 81603]
['apVisit-dr17-10347-58119-123.fits', 81604]
['apVisit-dr17-7771-56945-273.fits', 82185]
['apVisit-dr17-7771-57022-279.fits', 82186]
['asVisit-dr17-10082-58027-262.fits', 84085]
['asVisit-dr17-10125-58094-063.fits', 84091]
['asVisit-dr17-10124-58349-063.fits', 84086]
['asVisit-dr17-10124-58352-063.fits', 84092]
['asVisit-dr17-10124-58355-063.fits', 84087]
['asVisit-dr17-10124-58382-069.fits', 84080]
['asVisit-dr17-10125-58444-063.fits', 84090]
['apVisit-dr17-9264-59059-097.fits', 85586]
['apVisit-dr17-9264-59159-055.fits', 85585]
['apVisit-dr17-5221-55815-118.fits', 85578]
['apVisit-dr17-5221-55822-093.fits', 85574]
['apVisit-dr17-5221-55841-094.fits', 85575]
['apVisit-dr17-5221-55866-094.fits', 85576]
['apVisit-dr17-5221-55876-093.fits', 85573]
['apVisit-dr17-5221-56653-099.fits', 85577]
['apVisit-dr17-5221-56656-099.fits', 85579]
['apVisit-dr17-6104-56902-093.fits', 85580]
['apVisit-dr17-9264-57645-102.fits', 85591]
['apVisit-dr17-9264-57672-109.fits', 85593]
['apVisit-dr17-9264-57709-091.fits', 85587]
['apVisit-dr17-9519-57736-109.fits', 85594]
['apVisit-dr17-9519-57760-109.fits', 85592]
['apVisit-dr17-9264-58009-103.fits', 85596]
['apVisit-dr17-9519-58028-103.fits', 85584]
['apVisit-dr17-9519-58121-091.fits', 85582]
['apVisit-dr17-9069-58150-103.fits', 85589]
['apVisit-dr17-8659-57649-272.fits', 85802]
['apVisit-dr17-8659-57673-272.fits', 85800]
['asVisit-dr17-10082-58024-015.fits', 89197]
['asVisit-dr17-10082-58027-232.fits', 89196]
['apVisit-dr17-9069-57822-003.fits', 89859]
['apVisit-dr17-12317-58831-257.fits', 89897]
['apVisit-dr17-8684-57711-061.fits', 90773]
['apVisit-dr17-7950-57295-192.fits', 91191]
['apVisit-dr17-9082-57789-193.fits', 91204]
['apVisit-dr17-9083-57887-193.fits', 91193]
['apVisit-dr17-7950-58384-199.fits', 91199]
['apVisit-dr17-8659-57649-239.fits', 91388]
['asVisit-dr17-11182-58438-255.fits', 91495]
['apVisit-dr17-7771-57029-250.fits', 92751]
['apVisit-dr17-7771-57029-052.fits', 93355]
['asVisit-dr17-10036-58057-039.fits', 93357]
['apVisit-dr17-7771-57022-052.fits', 93354]
['apVisit-dr17-12317-58831-125.fits', 93368]
['apVisit-dr17-12317-58880-089.fits', 93369]
['apVisit-dr17-8569-58840-065.fits', 93752]
['apVisit-dr17-8569-58844-065.fits', 93754]
['apVisit-dr17-8569-58849-065.fits', 93753]
['apVisit-dr17-8091-58754-018.fits', 93756]
['apVisit-dr17-8091-58755-018.fits', 93755]
['apVisit-dr17-12316-58830-276.fits', 94307]
['apVisit-dr17-7771-57029-196.fits', 94651]
['apVisit-dr17-6561-56607-153.fits', 94743]
['apVisit-dr17-7950-57295-093.fits', 95205]
['apVisit-dr17-9082-57789-141.fits', 95203]
['apVisit-dr17-7950-58060-088.fits', 95208]
['apVisit-dr17-7950-58085-088.fits', 95211]
['apVisit-dr17-7950-58384-052.fits', 95213]
['apVisit-dr17-7951-59155-142.fits', 95207]
['asVisit-dr17-10036-58032-047.fits', 95353]
['asVisit-dr17-11900-58708-270.fits', 95876]
['apVisit-dr17-7771-56945-044.fits', 95954]
['apVisit-dr17-7771-57029-041.fits', 95956]
['apVisit-dr17-12317-58831-164.fits', 96083]
['apVisit-dr17-12316-58830-286.fits', 96851]
['apVisit-dr17-12316-58830-113.fits', 97454]
['apVisit-dr17-12696-59079-271.fits', 97934]
['apVisit-dr17-12696-59080-271.fits', 97935]
['apVisit-dr17-12696-59083-271.fits', 97936]
['asVisit-dr17-10036-58032-137.fits', 98395]
['asVisit-dr17-11900-58708-228.fits', 99609]
['asVisit-dr17-11900-58713-223.fits', 99606]
['asVisit-dr17-11901-58714-238.fits', 99610]
['asVisit-dr17-11900-58767-223.fits', 99607]
['asVisit-dr17-11901-58768-238.fits', 99608]
['asVisit-dr17-10126-58093-134.fits', 99790]
['asVisit-dr17-10126-58096-041.fits', 99779]
['asVisit-dr17-11901-58768-197.fits', 100334]
['apVisit-dr17-8114-57265-234.fits', 100622]
['apVisit-dr17-8091-58754-191.fits', 101422]
['asVisit-dr17-10083-58054-073.fits', 101462]
['asVisit-dr17-11900-58708-229.fits', 101620]
['asVisit-dr17-11900-58713-229.fits', 101618]
['asVisit-dr17-11901-58714-233.fits', 101616]
['asVisit-dr17-11900-58767-234.fits', 101619]
['asVisit-dr17-11901-58768-230.fits', 101621]
['asVisit-dr17-11901-58799-239.fits', 101617]
['asVisit-dr17-11037-58331-265.fits', 102010]
['apVisit-dr17-12073-58781-015.fits', 102558]
['apVisit-dr17-12073-58782-015.fits', 102560]
['apVisit-dr17-8659-57377-134.fits', 103662]
['apVisit-dr17-8659-57649-134.fits', 103664]
['apVisit-dr17-8659-57652-137.fits', 103663]
['apVisit-dr17-8659-57673-131.fits', 103665]
['asVisit-dr17-10037-58029-230.fits', 103667]
['apVisit-dr17-8091-58754-106.fits', 103993]
['apVisit-dr17-8091-58755-106.fits', 103994]
['asVisit-dr17-10083-58054-093.fits', 104306]
['asVisit-dr17-10126-58447-088.fits', 104305]
['asVisit-dr17-10137-58295-177.fits', 105936]
['asVisit-dr17-10139-58329-177.fits', 105939]
['asVisit-dr17-10139-58357-177.fits', 105935]
['asVisit-dr17-10140-58385-177.fits', 105947]
['apVisit-dr17-8659-57649-064.fits', 106791]
['asVisit-dr17-10037-58029-022.fits', 106998]
['apVisit-dr17-8114-57265-093.fits', 107148]
['apVisit-dr17-8114-57271-094.fits', 107147]
['asVisit-dr17-11901-58768-055.fits', 107296]
['asVisit-dr17-10037-58029-074.fits', 107433]
['apVisit-dr17-12311-58825-243.fits', 107445]
['apVisit-dr17-8114-57265-041.fits', 107586]
['apVisit-dr17-8114-57271-044.fits', 107584]
['apVisit-dr17-12316-58830-129.fits', 107635]
['apVisit-dr17-12316-58830-129.fits', 107635]
['apVisit-dr17-12696-59083-083.fits', 107820]
['asVisit-dr17-11901-58714-127.fits', 108133]
['asVisit-dr17-11901-58799-127.fits', 108134]
['asVisit-dr17-11036-58324-190.fits', 108351]
['asVisit-dr17-11036-58329-184.fits', 108350]
['asVisit-dr17-11036-58350-190.fits', 108352]
['asVisit-dr17-10137-58095-160.fits', 108719]
['asVisit-dr17-10137-58295-160.fits', 108712]
['asVisit-dr17-10138-58296-262.fits', 108706]
['asVisit-dr17-10139-58297-159.fits', 108711]
['asVisit-dr17-10138-58328-268.fits', 108716]
['asVisit-dr17-10139-58329-159.fits', 108713]
['asVisit-dr17-10138-58352-159.fits', 108708]
['asVisit-dr17-10139-58357-262.fits', 108714]
['asVisit-dr17-11161-58383-171.fits', 108709]
['asVisit-dr17-10140-58385-160.fits', 108717]
['asVisit-dr17-11161-58644-160.fits', 108715]
['asVisit-dr17-10140-58660-159.fits', 108707]
['asVisit-dr17-10140-58675-159.fits', 108720]
['asVisit-dr17-10037-58029-106.fits', 108749]
['asVisit-dr17-9999-58033-296.fits', 109127]
['apVisit-dr17-12073-58781-278.fits', 109166]
['apVisit-dr17-12073-58782-278.fits', 109167]
['apVisit-dr17-12073-58783-278.fits', 109165]
['apVisit-dr17-12696-59080-255.fits', 109162]
['apVisit-dr17-12696-59083-255.fits', 109164]
['apVisit-dr17-12696-59079-132.fits', 109179]
['apVisit-dr17-12696-59080-132.fits', 109178]
['asVisit-dr17-9999-58033-247.fits', 109297]
['asVisit-dr17-10039-58062-297.fits', 109361]
['asVisit-dr17-11036-58324-027.fits', 109857]
['asVisit-dr17-11036-58350-011.fits', 109859]
['asVisit-dr17-11036-58324-030.fits', 110023]
